cod_ine,municipio,provincia,poblacion,latitud,longitud
34091,LAGARTOS,PALENCIA,117,42.405844,-4.903725
34096,LOMAS,PALENCIA,41,42.276831,-4.548113
34099,MANQUILLOS,PALENCIA,58,42.203807,-4.567684
34103,MAZUECOS DE VALDEGINATE,PALENCIA,79,42.168526,-4.841833
34106,MENESES DE CAMPOS,PALENCIA,101,41.942,-4.919509
34108,MONZÓN DE CAMPOS,PALENCIA,583,42.115263,-4.493743
34112,NOGAL DE LAS HUERTAS,PALENCIA,46,42.393314,-4.641243
34116,OSORNILLO,PALENCIA,59,42.369498,-4.292124
34901,OSORNO LA MAYOR,PALENCIA,1190,42.40979,-4.361334
34124,PAYO DE OJEDA,PALENCIA,57,42.7207,-4.479884
34133,POBLACIÓN DE CERRATO,PALENCIA,98,41.792953,-4.428186
34137,POZO DE URAMA,PALENCIA,18,42.254333,-4.894954
34143,QUINTANILLA DE ONSOÑA,PALENCIA,180,42.470547,-4.663671
34146,REINOSO DE CERRATO,PALENCIA,57,41.975902,-4.382732
34149,REQUENA DE CAMPOS,PALENCIA,29,42.308246,-4.34348
34155,RIBAS DE CAMPOS,PALENCIA,153,42.153378,-4.516341
34160,SAN CEBRIÁN DE MUDÁ,PALENCIA,150,42.891803,-4.386345
34165,SAN ROMÁN DE LA CUBA,PALENCIA,53,42.262953,-4.857481
34168,SANTA CRUZ DE BOEDO,PALENCIA,52,42.524313,-4.373618
34169,SANTERVÁS DE LA VEGA,PALENCIA,400,42.504805,-4.798401
34170,SANTIBÁÑEZ DE ECLA,PALENCIA,42,42.707615,-4.374304
34176,SOTOBAÑADO Y PRIORATO,PALENCIA,158,42.591444,-4.4416
34179,TABANERA DE VALDAVIA,PALENCIA,22,42.647291,-4.693648
34180,TÁMARA DE CAMPOS,PALENCIA,74,42.203255,-4.3934
34181,TARIEGO DE CERRATO,PALENCIA,500,41.904936,-4.479144
34182,TORQUEMADA,PALENCIA,966,42.034436,-4.31758
34189,VALDEOLMILLOS,PALENCIA,60,42.041304,-4.400075
34023,VENTA DE BAÑOS,PALENCIA,6331,41.92284,-4.497346
34201,VERTAVILLO,PALENCIA,167,41.832573,-4.326836
34204,VILLACIDALER,PALENCIA,46,42.222044,-4.975713
34215,VILLALCÁZAR DE SIRGA,PALENCIA,174,42.316965,-4.542471
34218,VILLALUENGA DE LA VEGA,PALENCIA,519,42.5233,-4.767277
34220,VILLAMARTÍN DE CAMPOS,PALENCIA,169,42.01499,-4.663771
34223,VILLAMORONTA,PALENCIA,239,42.403531,-4.700262
34225,VILLAMURIEL DE CERRATO,PALENCIA,6508,41.947956,-4.515428
34230,VILLARMENTERO DE CAMPOS,PALENCIA,28,42.296943,-4.499839
34236,VILLATURDE,PALENCIA,147,42.376698,-4.671189
34237,VILLAUMBRALES,PALENCIA,623,42.08907,-4.613085
34242,VILLODRIGO,PALENCIA,96,42.144633,-4.094317
34243,VILLOLDO,PALENCIA,339,42.244029,-4.598242
34245,VILLOTA DEL PÁRAMO,PALENCIA,299,42.551763,-4.84797
37001,ABUSEJO,SALAMANCA,143,40.709744,-6.142289
37003,AHIGAL DE LOS ACEITEROS,SALAMANCA,88,40.872295,-6.746893
37008,ALBA DE TORMES,SALAMANCA,5122,40.827436,-5.512112
37018,ALDEANUEVA DE LA SIERRA,SALAMANCA,98,40.614848,-6.099752
37023,ALDEATEJADA,SALAMANCA,2587,40.92258,-5.69272
37026,ALDEHUELA DE YELTES,SALAMANCA,181,40.661814,-6.242377
37027,ALMENARA DE TORMES,SALAMANCA,305,41.06319,-5.822709
37031,ARABAYONA DE MÓGICA,SALAMANCA,325,41.047344,-5.385985
37039,BAÑOBÁREZ,SALAMANCA,280,40.850093,-6.612832
37042,BARCEO,SALAMANCA,48,41.060556,-6.452808
37047,BELEÑA,SALAMANCA,251,40.750987,-5.627483
37052,BOADA,SALAMANCA,268,40.815245,-6.30529
37055,BOGAJO,SALAMANCA,129,40.906874,-6.530994
37060,BUENAVISTA,SALAMANCA,365,40.767502,-5.611809
37070,CALVARRASA DE ARRIBA,SALAMANCA,615,40.905975,-5.592418
37074,CAMPILLO DE AZABA,SALAMANCA,142,40.511101,-6.688504
37078,CANDELARIO,SALAMANCA,843,40.365275,-5.741664
37079,CANILLAS DE ABAJO,SALAMANCA,70,40.921633,-5.929728
37080,CANTAGALLO,SALAMANCA,279,40.371632,-5.818542
37083,CANTARACILLO,SALAMANCA,190,40.903316,-5.163308
37087,CARRASCAL DE BARREGAS,SALAMANCA,1439,40.978695,-5.761913
37088,CARRASCAL DEL OBISPO,SALAMANCA,187,40.763456,-5.999737
37089,CASAFRANCA,SALAMANCA,68,40.591801,-5.760969
37185,CASTELLANOS DE VILLIQUERA,SALAMANCA,703,41.051328,-5.694527
37096,CASTILLEJO DE MARTÍN VIEJO,SALAMANCA,205,40.70121,-6.645077
37097,CASTRAZ,SALAMANCA,34,40.705472,-6.334477
37103,CESPEDOSA DE TORMES,SALAMANCA,496,40.542947,-5.580235
37104,CILLEROS DE LA BASTIDA,SALAMANCA,23,40.576171,-6.060697
37107,CIUDAD RODRIGO,SALAMANCA,11846,40.597312,-6.534158
37110,CORDOVILLA,SALAMANCA,108,40.951262,-5.405973
37034,EL ARCO,SALAMANCA,89,41.109875,-5.824781
37102,EL CERRO,SALAMANCA,365,40.327831,-5.915049
37180,EL MANZANO,SALAMANCA,57,41.174874,-6.287236
